TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0126.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0126
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
965	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Tlpiv	O	_	_	_	_	_	_	_	_
τις	O	_	_	_	_	_	_	_	_
ἐκόάλῃ	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
«	O	_	_	_	_	_	_	_	_
Πρὶν	O	_	_	_	_	_	_	_	_
ἂν	O	_	_	_	_	_	_	_	_
dxβάλωσιν,	O	_	_	_	_	_	_	_	NoSpaceAfter
στερηθῶσιν	O	_	_	_	_	_	_	_	_
αὐτοῦ	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
ϑὺν	O	_	_	_	_	_	_	_	_
1᾽	O	_	_	_	_	_	_	_	_
611	O	_	_	_	_	_	_	_	_
ρ60	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
&y	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
cf	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Philoctète	B-primary-full	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference
917	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
:	O	_	_	_	_	_	_	_	_
Mùà	O	_	_	_	_	_	_	_	_
στέναζε	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
πρὶν	O	_	_	_	_	_	_	_	_
μάθῃς	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Antigone	B-primary-full	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference
619	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
:	O	_	_	_	_	_	_	_	_
Πρὶν	O	_	_	_	_	_	_	_	_
πυρὶ	O	_	_	_	_	_	_	_	_
θερμῷ	O	_	_	_	_	_	_	_	_
πόδα	O	_	_	_	_	_	_	_	_
τις	O	_	_	_	_	_	_	_	_
προσαύσῃ	O	_	_	_	_	_	_	_	EndOfSentence|NoSpaceAfter
Τηαολίκπίονπας	B-primary-full	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED1.00
,	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference
6U8	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference|LED0.33
:	O	_	_	_	_	_	_	_	_
Πρὶν	O	_	_	_	_	_	_	_	_
κεῖνος	O	_	_	_	_	_	_	_	_
αὐτὸν	O	_	_	_	_	_	_	_	_
δείξῃ	O	_	_	_	_	_	_	_	_
θεοῖσιν	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
»	O	_	_	_	_	_	_	_	_
[	O	_	_	_	_	_	_	_	NoSpaceAfter
Schneidewin	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
.	O	_	_	_	_	_	_	_	NoSpaceAfter
]	O	_	_	_	_	_	_	_	EndOfSentence
Le	O	_	_	_	_	_	_	_	_
passage	O	_	_	_	_	_	_	_	_
cité	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	NoSpaceAfter
'	O	_	_	_	_	_	_	_	NoSpaceAfter
Antigone	O	_	_	_	_	_	_	_	LED0.00
offre	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
exemple	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
vic	O	_	_	_	_	_	_	_	_
employè	O	_	_	_	_	_	_	_	_
comme	O	_	_	_	_	_	_	_	_
ici	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
La	O	_	_	_	_	_	_	_	_
même	O	_	_	_	_	_	_	_	_
pensée	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
été	O	_	_	_	_	_	_	_	_
exprimée	O	_	_	_	_	_	_	_	_
bien	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
fois	O	_	_	_	_	_	_	_	_
dans	O	_	_	_	_	_	_	_	_
toutes	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	_
langues	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Voy	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
notamment	O	_	_	_	_	_	_	_	NoSpaceAfter
Plaute	B-primary-full	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference
Captifs	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference
442	I-primary-full	_	_	_	_	_	_	_	InPrimaryReference|LED0.33
(	O	_	_	_	_	_	_	_	NoSpaceAfter
1	B-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.33
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.33
τε	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.33
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.33
33	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.33
)	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
εἰ	O	_	_	_	_	_	_	_	_
Horace	B-primary-full	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
